read_index	read_name	fast5_path	model_name	strand	num_events	num_steps	num_skips	num_stays	total_duration	shift	scale	drift	var
15	40d2ebbd-0f2e-4179-8931-048c4afbf3c2	/mnt/e/Calu_3_Control_FAST5/fast5//FAO08072_pass_a4888d93_25.fast5		template	4131	1986	44	2100	26.72	-5.781	0.948	0.000	1.273
10	f17cfc7c-daad-4cd7-98ba-852f12c5e92e	/mnt/e/Calu_3_Control_FAST5/fast5//FAO08072_pass_a4888d93_6.fast5		template	6226	3011	51	3163	39.98	-0.995	0.952	0.000	1.277
34	ed5a3fae-7835-46e6-a7c3-07978f364dc0	/mnt/e/Calu_3_Control_FAST5/fast5//FAL72289_pass_03bdae16_99.fast5		template	1485	709	8	767	10.10	-0.332	0.923	0.000	1.416
4	356b9142-2d02-4a9f-ad5b-e486ce9f01be	/mnt/e/Calu_3_Control_FAST5/fast5//FAL72289_pass_03bdae16_99.fast5		template	1388	701	11	675	8.69	-1.742	0.902	0.000	1.178
19	95d32f26-843d-4dfd-a1fe-5bc293ed72c4	/mnt/e/Calu_3_Control_FAST5/fast5//FAL72289_pass_03bdae16_36.fast5		template	3346	1787	36	1522	20.78	-2.164	0.957	0.000	1.363
14	7c0fc637-1acf-4401-92db-3165dc6d8174	/mnt/e/Calu_3_Control_FAST5/fast5//FAO08072_pass_a4888d93_37.fast5		template	4872	2173	45	2653	30.67	-4.407	0.961	0.000	1.295
16	a811df1a-bf6d-4eb3-8f3c-e8ba2b6e9141	/mnt/e/Calu_3_Control_FAST5/fast5//FAL72289_pass_03bdae16_131.fast5		template	4143	2024	26	2092	26.95	-1.169	0.967	0.000	1.269
13	74b54b16-e689-4cc7-b0df-44a8c072bb74	/mnt/e/Calu_3_Control_FAST5/fast5//FAL72289_pass_03bdae16_54.fast5		template	4702	2304	26	2371	30.60	-1.261	0.915	0.000	1.315
1	06f34944-94b0-4000-958a-738bedd0fd8c	/mnt/e/Calu_3_Control_FAST5/fast5//FAO08072_pass_a4888d93_31.fast5		template	3141	1271	26	1843	19.07	-5.291	0.952	0.000	1.224
32	9ed12e2f-c9a3-464b-abca-b747882d5f71	/mnt/e/Calu_3_Control_FAST5/fast5//FAO08072_pass_a4888d93_63.fast5		template	1122	358	6	757	7.76	0.269	1.027	0.000	1.328
29	89a34bcd-6b04-400d-99f0-b0c57c90c3c4	/mnt/e/Calu_3_Control_FAST5/fast5//FAL72289_pass_03bdae16_112.fast5		template	2012	630	15	1366	14.03	3.157	0.952	0.000	1.449
26	db5ae757-8ff5-46d9-9815-c5208f2f55f1	/mnt/e/Calu_3_Control_FAST5/fast5//FAL72289_pass_03bdae16_12.fast5		template	2395	1218	16	1160	14.31	-1.545	0.967	0.000	1.372
35	84f6c553-1a44-4b63-8ab0-ec47cb99c9eb	/mnt/e/Calu_3_Control_FAST5/fast5//FAO08072_pass_a4888d93_52.fast5		template	1466	614	12	839	9.57	1.933	0.925	0.000	1.327
30	0a45e401-3fea-4c53-9dd4-bdbd3197b59d	/mnt/e/Calu_3_Control_FAST5/fast5//FAL72289_pass_03bdae16_80.fast5		template	1344	547	16	780	8.57	-3.312	0.956	0.000	1.252
17	3543a26d-266d-4077-b56b-e84ba8502fb6	/mnt/e/Calu_3_Control_FAST5/fast5//FAL72289_pass_03bdae16_68.fast5		template	5955	2456	32	3466	39.73	-2.114	0.933	0.000	1.251
20	530f5c9f-4e80-4ad9-ab55-6f47a55e9fd6	/mnt/e/Calu_3_Control_FAST5/fast5//FAL72289_pass_03bdae16_128.fast5		template	3629	1648	38	1942	22.81	8.677	1.018	0.000	1.417
2	f8c5030f-9c33-474f-9fa8-33f83ec2ba85	/mnt/e/Calu_3_Control_FAST5/fast5//FAL72289_pass_03bdae16_69.fast5		template	3739	1491	26	2221	24.38	-4.624	0.956	0.000	1.184
8	7ccfb9a9-a92b-4c51-b70f-f136fa378a0c	/mnt/e/Calu_3_Control_FAST5/fast5//FAO08072_pass_a4888d93_24.fast5		template	7404	3352	50	4001	45.04	-1.725	0.957	0.000	1.269
7	ec72c8d8-dda6-429c-83dc-8e6c5eff8461	/mnt/e/Calu_3_Control_FAST5/fast5//FAL72289_pass_03bdae16_77.fast5		template	7476	3440	87	3948	48.73	-4.296	0.933	0.000	1.235
25	72eb98e9-0152-45d7-b938-9e47cb7cf31c	/mnt/e/Calu_3_Control_FAST5/fast5//FAL72289_pass_03bdae16_127.fast5		template	2616	1283	23	1309	16.09	-1.848	0.933	0.000	1.279
