read_index	read_name	fast5_path	model_name	strand	num_events	num_steps	num_skips	num_stays	total_duration	shift	scale	drift	var
38	21ae67a7-b02b-4cf1-aa2d-a8dad2ec0ff7	/mnt/e/Calu_3_Infected_FAST5/fast5//FAO05844_pass_2643fa47_72.fast5		template	1013	447	17	548	6.16	4.366	1.004	0.000	1.413
31	490dbd62-c526-4df0-ab2f-d49416af41ba	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_46.fast5		template	2559	924	26	1608	16.75	-3.247	0.953	0.000	1.235
44	d670945a-3b82-4b98-aa36-bf34047b077a	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_164.fast5		template	3247	719	17	2510	23.80	-7.701	0.951	0.000	1.147
11	239cc0f7-bf7d-45d4-9dc3-ad723bd7e28e	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_184.fast5		template	8267	2795	38	5433	54.13	0.061	0.976	0.000	1.238
5	ba1ef815-6a2d-4505-b640-fa288268e5b9	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_96.fast5		template	3636	1843	47	1745	22.04	-5.025	0.975	0.000	1.268
2	99529bee-8740-458f-81cb-0a88ac98399a	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_21.fast5		template	4629	2069	40	2519	29.76	-6.874	0.977	0.000	1.272
43	b53750ae-cb82-48ef-afe0-479b3e0f4dcc	/mnt/e/Calu_3_Infected_FAST5/fast5//FAO05844_pass_2643fa47_0.fast5		template	622	273	3	345	3.92	5.528	0.897	0.000	1.562
21	8fc7646d-dd57-4931-8038-feb1d99bc618	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_165.fast5		template	6716	2392	50	4273	42.28	0.610	0.962	0.000	1.292
13	a03f0a0d-cec5-473a-ab80-5bda0d60d755	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_95.fast5		template	5567	2495	59	3012	36.04	-6.478	0.933	0.000	1.276
46	724780f4-97ba-4a4f-976a-17af6754bbac	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_66.fast5		template	1470	499	8	962	10.83	-5.831	0.951	0.000	1.194
28	243443b2-60cf-4e96-a19e-1f379dafb59b	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_177.fast5		template	4156	980	30	3145	27.95	1.298	0.952	0.000	1.518
29	560d2a91-16f7-4f8e-bd7d-fda0b46560b0	/mnt/e/Calu_3_Infected_FAST5/fast5//FAO05844_pass_2643fa47_3.fast5		template	2475	1034	20	1420	16.00	-1.997	0.929	0.000	1.410
9	89892c76-e92c-41b3-b82d-b01c9166f099	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_8.fast5		template	4411	1961	37	2412	27.67	-5.953	1.009	0.000	1.514
23	ad19aaf1-1a5d-4c19-8206-8e0ac49b49b6	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_109.fast5		template	4439	1634	34	2770	27.98	-8.077	0.945	0.000	1.285
32	54303eeb-c66d-461a-8753-afe355514127	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_65.fast5		template	1951	888	16	1046	12.64	-7.680	0.936	0.000	1.289
41	c3a36319-3de5-400f-8f4b-2453b306d5d1	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_103.fast5		template	2367	874	22	1470	15.96	-8.183	0.979	0.000	1.309
39	5c2fcc13-9e04-4a1b-b5dc-ce6668995e58	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_54.fast5		template	1412	444	18	949	9.44	-4.353	0.933	0.000	1.271
34	0d73140b-21d2-469d-8999-8d60613be11d	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_175.fast5		template	1569	691	11	866	9.43	0.313	0.963	0.000	1.332
14	0bcf7035-1f4f-4264-9cf8-043d70ae09f4	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_8.fast5		template	5610	2424	54	3131	35.61	-5.109	0.991	0.000	1.506
26	95f4e1d4-4839-4d88-b404-e876841191c2	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_80.fast5		template	2093	1126	15	951	12.86	-5.839	0.879	0.000	1.348
8	bc3e1c3f-b061-4de0-aa08-7c3da2484093	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_84.fast5		template	1550	697	15	837	9.58	-4.479	0.963	0.000	1.188
37	47bd47be-1d09-458e-a308-ce23a8c7ba2e	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_10.fast5		template	1256	505	14	736	8.66	-5.942	0.987	0.000	1.415
20	88966fcd-50a5-436a-8efe-ba1e6b53ef6b	/mnt/e/Calu_3_Infected_FAST5/fast5//FAO05844_pass_2643fa47_5.fast5		template	4935	2070	20	2844	29.42	-4.427	0.876	0.000	1.449
30	d537cd2e-dbe4-462a-94ff-a2a5afaf4ef7	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_89.fast5		template	2568	1062	11	1494	17.42	-6.821	0.896	0.000	1.397
40	73adbf45-6edd-4b5d-b315-65a96177a1b7	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_181.fast5		template	1289	391	14	883	8.92	-6.783	0.960	0.000	1.229
7	54d9ec47-d9be-4f28-b43a-d334f46925de	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_85.fast5		template	8445	4019	81	4344	54.34	-5.130	0.929	0.000	1.367
45	60588c0b-d543-4b6e-9526-968a00a77e24	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_76.fast5		template	1689	646	10	1032	10.46	-2.107	0.911	0.000	1.229
12	f5d6332c-483f-4c81-8da7-38b8234ef098	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_86.fast5		template	7004	3141	52	3810	40.45	-2.933	0.947	0.000	1.398
15	c78e2bf4-0189-4741-8b1b-6b81333d75d6	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_109.fast5		template	4767	2446	46	2274	29.57	-0.967	0.944	0.000	1.310
27	10818118-0be8-4af4-ac09-24cfc20392a2	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_19.fast5		template	3417	1021	34	2361	21.79	-4.298	0.956	0.000	1.276
42	68e10087-b9a6-496d-ab6c-edbe032ef4c9	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_174.fast5		template	1193	264	15	913	8.15	1.083	1.005	0.000	1.397
0	4196230a-9aac-4951-b80b-5f228ec5c2af	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_123.fast5		template	1379	281	11	1086	9.94	-0.324	0.986	0.000	1.248
1	2b19b468-70dc-46a0-83bd-e381948f1758	/mnt/e/Calu_3_Infected_FAST5/fast5//FAO05844_pass_2643fa47_31.fast5		template	638	243	4	390	4.23	-2.238	0.962	0.000	1.118
36	6389751b-f60f-4f2f-8808-e93163922024	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_117.fast5		template	1564	589	12	962	9.80	-5.990	0.946	0.000	1.298
35	e5ee7ac2-a9d6-48fe-a740-b78e2b032f03	/mnt/e/Calu_3_Infected_FAST5/fast5//FAO05844_pass_2643fa47_44.fast5		template	2536	612	18	1905	17.94	-7.431	0.940	0.000	1.203
22	67ece94f-7655-4097-9395-40a0d37462f0	/mnt/e/Calu_3_Infected_FAST5/fast5//FAO05844_pass_2643fa47_69.fast5		template	3636	1727	32	1876	22.64	-0.905	0.973	0.000	1.348
18	ac78f1a4-d7c9-4a8e-8172-8c32281d80fb	/mnt/e/Calu_3_Infected_FAST5/fast5//FAO05844_pass_2643fa47_12.fast5		template	4514	2318	40	2155	25.85	3.016	0.955	0.000	1.311
24	727ff868-9da0-4200-b4d9-c6a8f0046782	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_79.fast5		template	4964	1517	27	3419	35.83	-8.173	0.979	0.000	1.287
25	42794b34-fcf0-4017-b1e2-065c5e08b195	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_53.fast5		template	3621	1335	26	2259	23.36	-4.018	0.957	0.000	1.236
6	a84a956c-8099-4a61-8901-60cc6055c905	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_184.fast5		template	3400	1573	31	1795	20.07	10.019	1.042	0.000	1.519
10	c4b48a03-162e-44c7-81d5-d566ecde8068	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_34.fast5		template	7340	3496	70	3773	46.07	-6.370	0.972	0.000	1.214
19	27036b42-12c9-4efb-a254-af22d880ae7c	/mnt/e/Calu_3_Infected_FAST5/fast5//FAO05844_pass_2643fa47_68.fast5		template	6216	1993	33	4189	37.17	-2.999	0.925	0.000	1.098
16	841d2a67-cd1e-4085-9459-7e58ea140b88	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_108.fast5		template	8518	2880	59	5578	53.98	-1.844	0.977	0.000	1.214
3	0a1ef5ef-0d9a-4594-ac82-6d6bbeec692c	/mnt/e/Calu_3_Infected_FAST5/fast5//FAO05844_pass_2643fa47_41.fast5		template	18846	8684	185	9976	121.84	-1.782	0.938	0.000	1.205
4	d2e242a8-6539-4088-9a08-8f7413dfc002	/mnt/e/Calu_3_Infected_FAST5/fast5//FAL75646_pass_c8b5c030_139.fast5		template	30973	8468	245	22259	220.14	-0.621	0.987	0.000	1.237
